station_id_encoded,hour,is_peak,station_congestion,stop_sequence,prev_delay,route_encoded,day_of_week,is_weekend,weather_severity,event_intensity,recovery_factor,delay_minutes,trip_id
56,6,0,1.0,1,0.0,1,6,1,0,0.0,0.1,1.03,SA_101482
107,6,0,1.0,2,1.03,1,3,0,2,0.0,0.1,5.99,SA_101482
74,6,0,1.0,3,5.99,1,4,0,0,0.0,0.1,5.36,SA_101482
12,6,0,1.0,4,5.36,1,6,1,0,0.0,0.1,5.15,SA_101482
97,6,0,1.0,5,5.15,1,2,0,0,0.0,0.1,4.53,SA_101482
62,6,0,1.0,6,4.53,1,4,0,0,0.0,0.1,4.12,SA_101482
26,6,0,1.0,7,4.12,1,4,0,0,0.0,0.1,3.83,SA_101482
99,6,0,1.0,8,3.83,1,6,1,1,0.0,0.1,5.53,SA_101482
88,6,0,1.0,9,5.53,1,1,0,0,0.0,0.1,4.17,SA_101482
88,6,0,1.0,1,0.0,1,2,0,0,0.0,0.1,1.6,SA_101483
100,6,0,1.0,2,1.6,1,6,1,0,0.0,0.1,1.99,SA_101483
27,6,0,1.0,3,1.99,1,2,0,2,0.0,0.1,6.64,SA_101483
63,6,0,1.0,4,6.64,1,2,0,1,0.0,0.1,7.45,SA_101483
98,6,0,1.0,5,7.45,1,4,0,0,0.0,0.1,5.84,SA_101483
13,6,0,1.0,6,5.84,1,3,0,0,0.0,0.1,5.61,SA_101483
75,6,0,1.0,7,5.61,1,2,0,0,0.0,0.1,4.95,SA_101483
108,6,0,1.0,8,4.95,1,5,1,0,0.0,0.1,4.58,SA_101483
57,6,0,1.0,9,4.58,1,4,0,0,0.0,0.1,3.89,SA_101483
56,6,0,1.0,1,0.0,1,1,0,0,0.0,0.1,1.54,SA_101484
107,6,0,1.0,2,1.54,1,3,0,0,0.0,0.1,2.09,SA_101484
74,6,0,1.0,3,2.09,1,5,1,0,0.0,0.1,2.44,SA_101484
12,6,0,1.0,4,2.44,1,5,1,0,0.0,0.1,3.15,SA_101484
97,6,0,1.0,5,3.15,1,1,0,0,0.0,0.1,3.43,SA_101484
62,6,0,1.0,6,3.43,1,3,0,0,0.0,0.1,3.34,SA_101484
26,6,0,1.0,7,3.34,1,4,0,0,0.0,0.1,3.16,SA_101484
99,6,0,1.0,8,3.16,1,0,0,0,0.0,0.1,3.3,SA_101484
88,6,0,1.0,9,3.3,1,3,0,0,0.0,0.1,3.29,SA_101484
88,6,0,1.0,1,0.0,1,1,0,0,0.0,0.1,2.01,SA_101485
100,6,0,1.0,2,2.01,1,5,1,0,0.0,0.1,2.82,SA_101485
27,6,0,1.0,3,2.82,1,4,0,0,0.0,0.1,2.75,SA_101485
63,6,0,1.0,4,2.75,1,3,0,0,0.0,0.1,3.13,SA_101485
98,6,0,1.0,5,3.13,1,0,0,0,0.0,0.1,2.74,SA_101485
13,6,0,1.0,6,2.74,1,0,0,0,0.0,0.1,2.67,SA_101485
75,6,0,1.0,7,2.67,1,2,0,1,0.0,0.1,5.07,SA_101485
