stop_name,hour,day_of_week,is_weekend,is_peak_hour,delay_minutes
Dilsukh Nagar,6,4,0,0,0.47
Chaitanyapuri,6,4,0,0,3.0
Victoria Memorial,6,4,0,0,1.32
L. B. Nagar,6,6,1,0,0.9
Gandhi Bhavan,6,6,1,0,0.17
Osmania Medical College,6,4,0,0,0.17
Mahatma Gandhi Bus Station,6,6,1,0,0.05
Malakpet,6,4,0,0,2.0
New Market,6,0,0,0,0.92
Musarambagh,6,2,0,0,1.22
Dilsukh Nagar,6,3,0,0,0.02
Chaitanyapuri,6,6,1,0,3.5
Victoria Memorial,6,4,0,0,1.78
L. B. Nagar,6,3,0,0,0.23
Erra Manzil,6,5,1,0,0.2
Khairatabad,6,0,0,0,0.2
Lakdi-ka-pul,6,3,0,0,0.35
Assembly,6,0,0,0,0.73
Nampally,6,1,0,0,0.0
Gandhi Bhavan,6,2,0,0,0.33
Osmania Medical College,6,1,0,0,0.93
Mahatma Gandhi Bus Station,6,0,0,0,0.0
Malakpet,6,6,1,0,0.33
New Market,6,5,1,0,0.45
Musarambagh,6,1,0,0,0.6
Dilsukh Nagar,6,0,0,0,1.53
Chaitanyapuri,6,1,0,0,0.22
Victoria Memorial,6,0,0,0,0.72
L. B. Nagar,6,2,0,0,0.88
Bharat Nagar,6,5,1,0,0.03
Erragadda,6,2,0,0,0.93
ESI Hospital,6,2,0,0,0.18
S. R. Nagar,6,0,0,0,0.07
Ameerpet,6,3,0,0,5.9
Panjagutta,6,1,0,0,1.65
Erra Manzil,6,6,1,0,0.0
Khairatabad,6,1,0,0,0.1
Lakdi-ka-pul,6,1,0,0,1.15
Assembly,6,5,1,0,0.57
Nampally,6,1,0,0,0.12
Gandhi Bhavan,6,2,0,0,0.68
Osmania Medical College,6,3,0,0,0.03
Mahatma Gandhi Bus Station,6,1,0,0,2.4
Malakpet,6,3,0,0,0.28
New Market,6,0,0,0,0.0
Musarambagh,6,0,0,0,0.37
Dilsukh Nagar,6,5,1,0,0.73
Chaitanyapuri,6,1,0,0,0.78
