stop_name_encoded,hour,day_of_week,is_weekend,is_peak_hour,stop_sequence,direction_id,is_interchange,delay_minutes
5,6,2,0,0,1,0,0,0.94
4,6,4,0,0,2,0,0,1.31
26,6,5,1,0,3,0,0,1.61
14,6,5,1,0,4,0,0,1.69
9,6,5,1,0,1,0,0,0.2
23,6,6,1,0,2,0,0,0.0
16,6,0,0,0,3,0,0,0.3
17,6,3,0,0,4,0,0,0.65
22,6,2,0,0,5,0,0,0.66
20,6,3,0,0,6,0,0,0.0
5,6,4,0,0,7,0,0,0.42
4,6,0,0,0,8,0,0,0.52
26,6,0,0,0,9,0,0,0.61
14,6,4,0,0,10,0,0,0.71
7,6,0,0,0,1,0,0,0.63
12,6,2,0,0,2,0,0,0.0
15,6,2,0,0,3,0,0,0.15
1,6,4,0,0,4,0,0,0.45
21,6,2,0,0,5,0,0,0.0
9,6,6,1,0,6,0,0,0.15
23,6,6,1,0,7,0,0,0.33
16,6,5,1,0,8,0,0,0.56
17,6,6,1,0,9,0,0,0.95
22,6,4,0,0,10,0,0,1.05
20,6,6,1,0,11,0,0,1.31
5,6,2,0,0,12,0,0,1.6
4,6,0,0,0,13,0,0,0.0
26,6,4,0,0,14,0,0,0.3
14,6,6,1,0,15,0,0,0.39
3,6,4,0,0,1,0,0,0.54
8,6,3,0,0,2,0,0,0.0
6,6,6,1,0,3,0,0,0.4
25,6,6,1,0,4,0,0,0.56
0,6,0,0,0,5,0,1,2.29
24,6,1,0,0,6,0,0,0.0
7,6,1,0,0,7,0,0,0.06
12,6,3,0,0,8,0,0,0.31
15,6,3,0,0,9,0,0,0.33
1,6,2,0,0,10,0,0,0.78
21,6,5,1,0,11,0,0,0.91
9,6,2,0,0,12,0,0,1.24
23,6,4,0,0,13,0,0,1.4
16,6,3,0,0,14,0,0,0.0
17,6,3,0,0,15,0,0,0.27
22,6,1,0,0,16,0,0,0.37
20,6,0,0,0,17,0,0,0.85
5,6,2,0,0,18,0,0,1.24
4,6,6,1,0,19,0,0,0.0
26,6,2,0,0,20,0,0,0.45
14,6,5,1,0,21,0,0,0.75
18,6,3,0,0,1,0,0,2.59
10,6,0,0,0,2,0,0,0.0
11,6,1,0,0,3,0,0,0.02
13,6,0,0,0,4,0,0,0.19
2,6,1,0,0,5,0,0,0.38
19,6,2,0,0,6,0,0,0.52
3,6,3,0,0,7,0,0,0.93
8,6,1,0,0,8,0,0,1.11
6,6,2,0,0,9,0,0,1.25
25,6,6,1,0,10,0,0,1.52
0,6,6,1,0,11,0,1,3.39
24,6,0,0,0,12,0,0,0.0
7,6,4,0,0,13,0,0,0.49
12,6,4,0,0,14,0,0,0.88
15,6,3,0,0,15,0,0,0.98
1,6,5,1,0,16,0,0,0.98
21,6,0,0,0,17,0,0,1.39
9,6,6,1,0,18,0,0,1.74
23,6,2,0,0,19,0,0,2.11
16,6,0,0,0,20,0,0,2.49
17,6,5,1,0,21,0,0,2.53
22,6,5,1,0,22,0,0,2.71
20,6,6,1,0,23,0,0,2.77
5,6,4,0,0,24,0,0,3.2
4,6,5,1,0,25,0,0,3.51
26,6,1,0,0,26,0,0,0.0
14,6,3,0,0,27,0,0,0.03
14,6,3,0,0,1,1,0,0.0
26,6,4,0,0,2,1,0,0.36
4,6,2,0,0,3,1,0,0.68
5,6,1,0,0,4,1,0,0.0
20,6,6,1,0,5,1,0,0.24
22,7,4,0,0,6,1,0,0.3
17,7,6,1,0,7,1,0,0.65
16,7,2,0,0,8,1,0,1.03
23,7,0,0,0,9,1,0,0.0
9,7,5,1,0,10,1,0,0.39
21,7,3,0,0,11,1,0,0.63
1,7,6,1,0,12,1,0,0.89
15,7,6,1,0,13,1,0,1.11
12,7,5,1,0,14,1,0,1.12
7,7,0,0,0,15,1,0,1.17
24,7,3,0,0,16,1,0,1.19
0,7,2,0,0,17,1,1,2.82
25,7,6,1,0,18,1,0,1.76
6,7,1,0,0,19,1,0,2.22
8,7,3,0,0,20,1,0,2.34
3,7,5,1,0,21,1,0,2.55
19,7,2,0,0,22,1,0,2.92
2,7,1,0,0,23,1,0,3.04
13,7,5,1,0,24,1,0,3.08
11,7,1,0,0,25,1,0,0.0
10,7,6,1,0,26,1,0,0.08
18,7,5,1,0,27,1,0,0.0
18,6,4,0,0,1,0,0,1.97
10,6,5,1,0,2,0,0,0.0
11,6,2,0,0,3,0,0,0.4
13,6,0,0,0,4,0,0,0.5
2,6,0,0,0,5,0,0,0.94
19,6,5,1,0,6,0,0,1.21
3,6,3,0,0,7,0,0,1.61
8,6,1,0,0,8,0,0,2.06
6,6,1,0,0,9,0,0,0.0
25,6,4,0,0,10,0,0,0.06
0,6,6,1,0,11,0,1,1.6
24,6,5,1,0,12,0,0,0.58
7,6,2,0,0,13,0,0,1.01
12,6,2,0,0,14,0,0,0.0
15,6,2,0,0,15,0,0,0.26
1,6,2,0,0,16,0,0,0.46
21,6,4,0,0,17,0,0,0.58
9,6,3,0,0,18,0,0,0.64
23,6,3,0,0,19,0,0,0.0
16,6,0,0,0,20,0,0,0.47
17,6,5,1,0,21,0,0,0.0
22,6,5,1,0,22,0,0,0.26
20,6,0,0,0,23,0,0,0.61
5,6,5,1,0,24,0,0,0.79
4,6,2,0,0,25,0,0,1.28
26,6,1,0,0,26,0,0,1.76
14,6,1,0,0,27,0,0,1.89
14,7,5,1,0,1,1,0,0.84
26,7,5,1,0,2,1,0,0.98
